STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,s_adj,Seasonal adjustment,age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BE,Belgium,2024-10,,5.8,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BE,Belgium,2024-11,,5.9,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BE,Belgium,2024-12,,6.0,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BE,Belgium,2025-01,,6.0,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BE,Belgium,2025-02,,6.2,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BE,Belgium,2025-03,,6.3,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BE,Belgium,2025-04,,6.4,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BE,Belgium,2025-05,,6.5,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BG,Bulgaria,2024-07,,4.0,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BG,Bulgaria,2024-08,,4.0,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BG,Bulgaria,2024-09,,4.0,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BG,Bulgaria,2024-10,,4.1,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BG,Bulgaria,2024-11,,4.0,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BG,Bulgaria,2024-12,,3.8,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BG,Bulgaria,2025-01,,3.6,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BG,Bulgaria,2025-02,,3.5,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BG,Bulgaria,2025-03,,3.4,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BG,Bulgaria,2025-04,,3.4,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BG,Bulgaria,2025-05,,3.5,,,,,
