STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,CH,Switzerland,2023,,606429.9,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,CH,Switzerland,2024,,624622.1,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,CY,Cyprus,2020,,17820.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,CY,Cyprus,2021,,23306.5,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,CY,Cyprus,2022,,31028.7,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,CY,Cyprus,2023,,30449.3,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,CY,Cyprus,2024,,32457.1,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,CZ,Czechia,2020,,149284.6,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,CZ,Czechia,2021,,173561.8,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,CZ,Czechia,2022,,207798.3,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,CZ,Czechia,2023,,218926.2,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,CZ,Czechia,2024,,220801.3,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,DE,Germany,2020,,1351188.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,DE,Germany,2021,,1568289.0,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,DE,Germany,2022,,1810093.0,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,DE,Germany,2023,,1816627.0,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,DE,Germany,2024,,1799605.0,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,DK,Denmark,2020,,171780.2,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,DK,Denmark,2021,,203269.8,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,DK,Denmark,2022,,269271.3,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,DK,Denmark,2023,,259356.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,DK,Denmark,2024,,278612.4,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,EE,Estonia,2020,,18987.4,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,EE,Estonia,2021,,25022.2,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,EE,Estonia,2022,,31582.7,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,EE,Estonia,2023,,29732.1,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,EE,Estonia,2024,,30135.2,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,EL,Greece,2020,,52691.9,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,EL,Greece,2021,,74310.5,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,EL,Greece,2022,,101889.9,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,EL,Greece,2023,,98429.6,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,EL,Greece,2024,,99731.9,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,ES,Spain,2020,,344196.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,ES,Spain,2021,,417060.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,ES,Spain,2022,,546088.0,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,ES,Spain,2023,,570251.0,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,ES,Spain,2024,,593562.0,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,EU27_2020,European Union - 27 countries (from 2020),2020,,6211497.4,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,EU27_2020,European Union - 27 countries (from 2020),2021,,7342837.2,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,EU27_2020,European Union - 27 countries (from 2020),2022,,8926900.5,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,EU27_2020,European Union - 27 countries (from 2020),2023,,8939370.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,EU27_2020,European Union - 27 countries (from 2020),2024,,9101581.3,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,FI,Finland,2020,,85606.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,FI,Finland,2021,,99311.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,FI,Finland,2022,,123180.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,FI,Finland,2023,,116761.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,FI,Finland,2024,,115601.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,FR,France,2020,,662035.3,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,FR,France,2021,,784736.3,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,FR,France,2022,,971788.9,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,FR,France,2023,,973920.4,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,FR,France,2024,,989546.9,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,HR,Croatia,2020,,20936.1,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,HR,Croatia,2021,,29068.4,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,HR,Croatia,2022,,40226.8,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,HR,Croatia,2023,,41314.3,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,HR,Croatia,2024,,42569.7,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,HU,Hungary,2020,,108500.3,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,HU,Hungary,2021,,123079.6,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,HU,Hungary,2022,,151309.3,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,HU,Hungary,2023,,159974.4,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,HU,Hungary,2024,,153963.1,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,IE,Ireland,2020,,517748.8,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,IE,Ireland,2021,,597705.4,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,IE,Ireland,2022,,712037.6,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,IE,Ireland,2023,,688731.8,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,IE,Ireland,2024,,787239.9,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,IS,Iceland,2020,,6311.5,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,IS,Iceland,2021,,8141.2,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,IS,Iceland,2022,,12502.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,IS,Iceland,2023,,12638.4,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,IS,Iceland,2024,,12858.7,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,IT,Italy,2020,,479725.2,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,IT,Italy,2021,,574339.2,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,IT,Italy,2022,,701306.3,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,IT,Italy,2023,,714756.6,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,IT,Italy,2024,,717563.7,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,LT,Lithuania,2020,,36409.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,LT,Lithuania,2021,,45134.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,LT,Lithuania,2022,,58537.8,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,LT,Lithuania,2023,,56431.5,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,LT,Lithuania,2024,,58112.6,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,LU,Luxembourg,2020,,131860.3,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,LU,Luxembourg,2021,,157486.4,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,LU,Luxembourg,2022,,170579.9,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,LU,Luxembourg,2023,,176373.2,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,LU,Luxembourg,2024,,185556.3,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,LV,Latvia,2020,,18311.8,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,LV,Latvia,2021,,21569.2,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,LV,Latvia,2022,,27969.3,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,LV,Latvia,2023,,26167.1,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,LV,Latvia,2024,,25983.3,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,ME,Montenegro,2020,,1088.1,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,ME,Montenegro,2021,,2122.5,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,ME,Montenegro,2022,,3052.8,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,ME,Montenegro,2023,,3478.4,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,ME,Montenegro,2024,,3347.2,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,MK,North Macedonia,2020,,6269.2,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,MK,North Macedonia,2021,,7745.1,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,MK,North Macedonia,2022,,9639.1,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,MK,North Macedonia,2023,,9889.7,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,MK,North Macedonia,2024,,9668.2,,e,estimated,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,MT,Malta,2020,,19549.2,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,MT,Malta,2021,,19792.8,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,MT,Malta,2022,,23490.7,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,MT,Malta,2023,,25610.9,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,MT,Malta,2024,,27665.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,NL,Netherlands,2020,,663307.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,NL,Netherlands,2021,,770745.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,NL,Netherlands,2022,,958476.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,NL,Netherlands,2023,,918720.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,NL,Netherlands,2024,,925247.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,NO,Norway,2020,,103982.6,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,NO,Norway,2021,,183096.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,NO,Norway,2022,,314943.9,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,NO,Norway,2023,,213943.7,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,NO,Norway,2024,,212224.4,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,PL,Poland,2020,,278857.8,,,,,
